neighborhood_slug,listings,median_asking_price,median_price_per_sqm,p25_price_per_sqm,p75_price_per_sqm,median_building_size_sqm,median_rooms,median_construction_year_jalali,median_latitude,median_longitude,median_location_radius,elevator_share,parking_share,warehouse_share,rebuilt_share,balcony_share,price_vs_city_median_pct,stabilized_price_per_sqm,stabilization_weight,iqr_price_per_sqm
darrous,706,32000000000.0,194270729.76734936,158333333.33333334,245332519.82916415,166.5,3.0,1396.0,35.77359199523926,51.45492362976074,500.0,0.9807407407407407,0.988388969521045,0.9927431059506531,0.4375,0.9663157894736842,133.12487572081926,161161752.51622295,0.7792494481236203,86999186.4958308
north-janat-abad,697,8500000000.0,103406593.40659341,87857142.85714285,115000000.0,86.0,2.0,1395.0,35.770896911621094,51.30755615234375,500.0,0.7406855439642325,0.9367647058823529,0.9852941176470589,0.5150905432595574,0.9533333333333334,24.087912087912102,98548449.77415153,0.7770345596432553,27142857.14285715
afsariyeh,693,4250000000.0,60937500.0,46875000.0,69259259.25925925,72.0,2.0,1397.0,35.649417877197266,51.49230194091797,500.0,0.658703071672355,0.7240829346092504,0.7288676236044657,0.3161290322580645,0.7676537585421412,-26.874999999999993,65362552.70444297,0.7760358342665173,22384259.259259254
gisha,679,14800000000.0,155714285.7142857,137500000.0,175890625.0,96.0,2.0,1395.0,35.7353458404541,51.37760925292969,500.0,0.9289026275115919,0.9620637329286799,0.9848254931714719,0.4753694581280788,0.971830985915493,86.85714285714286,135067700.4344526,0.7724687144482366,38390625.0
pirouzi,673,4120000000.0,67164179.10447761,54629629.62962963,81147540.98360656,71.0,2.0,1393.0,35.692726135253906,51.48339080810547,500.0,0.6122448979591837,0.6486486486486487,0.7583465818759937,0.5044843049327354,0.6635730858468677,-19.402985074626855,70566662.32309408,0.7709049255441008,26517911.353976935
shams-abad,649,9000000000.0,105882352.94117647,94339622.64150943,120689655.1724138,88.0,2.0,1393.0,35.74838066101074,51.47891616821289,500.0,0.8933333333333333,0.8788870703764321,0.9689034369885434,0.5047619047619047,0.8511749347258486,27.05882352941178,100074409.20388496,0.7644287396937574,26350032.530904368
mirdamad,643,19500000000.0,147222222.2222222,128062564.1025641,186794871.7948718,138.0,3.0,1388.0,35.758596420288086,51.44007682800293,500.0,0.9401993355481728,0.9821138211382113,0.9869918699186991,0.4918918918918919,0.9447513812154696,76.66666666666666,128628276.20193668,0.7627520759193357,58732307.69230771
elahiyeh,642,42900000000.0,225543478.26086956,188571428.57142857,277104784.9788008,200.0,3.0,1393.0,35.79115676879883,51.426809310913086,500.0,0.9697478991596639,0.9951612903225806,0.9951612903225806,0.37771739130434784,0.9786666666666667,170.6521739130435,178040866.36631513,0.7624703087885986,88533356.4073722
farmaniyeh,638,36500000000.0,206057142.85714287,172222222.2222222,262585812.3569794,180.0,3.0,1396.0,35.79709053039551,51.46924209594727,500.0,0.9730185497470489,0.9869067103109657,0.9950900163666121,0.37142857142857144,0.9708994708994709,147.26857142857145,166017018.20262694,0.7613365155131265,90363590.13475719
ekhtiyariyeh,619,17700000000.0,148275862.06896552,129238505.74712643,170000000.0,122.0,2.0,1391.0,35.78642272949219,51.459720611572266,500.0,0.9057239057239057,0.9635157545605307,0.9751243781094527,0.5298329355608592,0.9095127610208816,77.93103448275865,128812773.28776376,0.7557997557997558,40761494.25287357
north-sohrevardi,619,11100000000.0,115217391.30434783,95454545.45454545,136979066.17788923,100.0,2.0,1392.0,35.72170639038086,51.43534851074219,500.0,0.772020725388601,0.8663282571912013,0.9153976311336718,0.5542857142857143,0.8992628992628993,38.26086956521739,106453326.84459768,0.7557997557997558,41524520.723343775
jey,584,3150000000.0,56577748.86141835,52157786.885245904,60165453.91545392,58.0,1.0,1395.0,35.67786407470703,51.35260581970215,500.0,0.7246891651865008,0.6306620209059234,0.8867595818815331,0.6954643628509719,0.9269311064718163,-32.106701366297976,62452087.87767857,0.7448979591836735,8007667.030208014
hashemi,580,3525000000.0,63824404.76190476,56250000.0,70522058.8235294,59.0,1.0,1393.0,35.68504333496094,51.360145568847656,500.0,0.5992779783393501,0.5204991087344029,0.8181818181818182,0.6252771618625277,0.8877118644067796,-23.410714285714285,68341936.57939944,0.7435897435897436,14272058.823529407
sattarkhan,563,8900000000.0,100757575.75757575,85365853.65853658,117875939.84962407,95.0,2.0,1393.0,35.72103309631348,51.35769271850586,500.0,0.7300970873786408,0.8442776735459663,0.9437148217636022,0.5737704918032787,0.9293193717277487,20.9090909090909,95865712.53491066,0.7378768020969856,32510086.191087484
sabalan,532,3500000000.0,67964957.52427185,62000000.0,74549441.7862839,54.0,1.0,1394.0,35.723472595214844,51.463626861572266,500.0,0.5517928286852589,0.5828460038986355,0.8771929824561403,0.5203488372093024,0.6933333333333334,-18.44205097087378,71857910.81814182,0.726775956284153,12549441.786283895
velenjak,531,37000000000.0,233081632.6530612,190454545.45454544,280000000.0,165.0,3.0,1396.0,35.806060791015625,51.40216255187988,500.0,0.9782178217821782,0.9980769230769231,0.9980769230769231,0.44879518072289154,0.9854227405247813,179.69795918367345,175911745.27588782,0.7264021887824897,89545454.54545456
haftchenar,530,3000000000.0,56250000.0,50000000.0,62500000.0,56.0,1.0,1389.0,35.6755256652832,51.36962890625,500.0,0.49206349206349204,0.58984375,0.904296875,0.7025171624713958,0.8646080760095012,-32.49999999999999,62645317.75121562,0.726027397260274,12500000.0
tehran-zanjan,522,4200000000.0,71698113.20754717,65304487.179487176,80208333.33333333,60.0,2.0,1394.0,35.69335174560547,51.36023712158203,500.0,0.631163708086785,0.6472868217054264,0.8953488372093024,0.6690140845070423,0.926605504587156,-13.962264150943382,74747973.71937917,0.7229916897506925,14903846.153846152
soleymani,514,2785000000.0,54366895.49961861,48888888.88888889,60000000.0,53.0,1.0,1387.0,35.672607421875,51.36366653442383,500.0,0.42052313883299797,0.4990059642147117,0.856858846918489,0.7373271889400922,0.8254716981132075,-34.75972540045766,61276069.25515549,0.7198879551820728,11111111.111111112
fallah,507,2900000000.0,49210526.315789476,45030864.197530866,52941176.47058824,63.0,1.0,1394.0,35.65802574157715,51.36517333984375,500.0,0.7190775681341719,0.5523613963039015,0.6529774127310062,0.4300254452926209,0.8264705882352941,-40.94736842105262,57117750.05783495,0.7171145685997171,7910312.273057371
shahrak-e-gharb,480,26600000000.0,186881720.43010753,150000000.0,238100600.6006006,150.0,3.0,1386.0,35.76015853881836,51.371429443359375,500.0,0.9694444444444444,0.9767441860465116,0.9936575052854123,0.542319749216301,0.9679144385026738,124.25806451612904,147368826.96665686,0.7058823529411765,88100600.6006006
shahrak-e-vali-e-asr,476,3000000000.0,50422413.79310345,43137254.90196078,60892857.14285714,65.0,1.0,1389.0,35.647539138793945,51.34025764465332,500.0,0.5134474327628362,0.5829493087557603,0.6497695852534562,0.4596774193548387,0.7987220447284346,-39.49310344827586,58503035.681692466,0.7041420118343196,17755602.24089636
aboozar,474,11000000000.0,116447026.18345761,106051716.644937,131860824.74226804,96.0,2.0,1392.0,35.73118209838867,51.32947540283203,500.0,0.9269911504424779,0.962800875273523,0.9846827133479212,0.6116207951070336,0.9427609427609428,39.73643142014915,105441071.8616558,0.7032640949554896,25809108.097331047
azad-shahr,458,7500000000.0,67543859.6491228,51976377.952755906,76895947.47019014,114.0,2.0,1402.0,35.753475189208984,51.17460060119629,500.0,0.9328859060402684,0.9757709251101322,0.9669603524229075,0.21035598705501618,0.972027972027972,-18.947368421052634,71997303.72195268,0.6960486322188449,24919569.517434232
jordan,450,20000000000.0,138944444.44444445,122485465.11627907,165453296.70329672,145.0,3.0,1385.0,35.76803779602051,51.41743850708008,500.0,0.9356435643564357,0.9904988123515439,0.9738717339667459,0.4827586206896552,0.9390862944162437,66.73333333333335,118720739.18189485,0.6923076923076923,42967831.587017655
amiriyeh,448,2900000000.0,51045751.63398693,4000000.0,67272727.27272727,80.0,2.0,1390.0,35.6776237487793,51.40111541748047,500.0,0.5146579804560261,0.5736196319018405,0.8098159509202454,0.6111111111111112,0.8433734939759037,-38.745098039215684,59382280.46625771,0.691358024691358,63272727.272727266
